locus_tag	ftype	length_bp	gene	EC_number	COG	product
DHLAKHBD_00001	CDS	450				hypothetical protein
DHLAKHBD_00002	CDS	408				hypothetical protein
DHLAKHBD_00003	CDS	354				hypothetical protein
DHLAKHBD_00004	CDS	1659	pgm	5.4.2.2	COG0033	Phosphoglucomutase
DHLAKHBD_00005	CDS	285				hypothetical protein
DHLAKHBD_00006	CDS	3438	mdtC			Multidrug resistance protein MdtC
DHLAKHBD_00007	CDS	1083	bepF_1			Efflux pump periplasmic linker BepF
DHLAKHBD_00008	CDS	2208	ruvB_1	3.6.4.12		Holliday junction ATP-dependent DNA helicase RuvB
DHLAKHBD_00009	CDS	684				hypothetical protein
DHLAKHBD_00010	CDS	504				hypothetical protein
DHLAKHBD_00011	CDS	654				hypothetical protein
DHLAKHBD_00012	CDS	468	bcp_1	1.11.1.15	COG1225	Putative peroxiredoxin bcp
DHLAKHBD_00013	CDS	756	coaX	2.7.1.33		Type III pantothenate kinase
DHLAKHBD_00014	CDS	801	cysH	1.8.4.8	COG0175	Phosphoadenosine phosphosulfate reductase
DHLAKHBD_00015	CDS	1170	ndbB	1.6.5.12		Demethylphylloquinone reductase NdbB
DHLAKHBD_00016	CDS	1677	hflX			GTPase HflX
DHLAKHBD_00017	CDS	1821				hypothetical protein
DHLAKHBD_00018	CDS	1404	ktrB		COG0168	Ktr system potassium uptake protein B
DHLAKHBD_00019	CDS	705	ktrA		COG0569	Ktr system potassium uptake protein A
DHLAKHBD_00020	CDS	1140	anmK	2.7.1.170	COG2377	Anhydro-N-acetylmuramic acid kinase
DHLAKHBD_00021	CDS	363				hypothetical protein
DHLAKHBD_00022	CDS	378				hypothetical protein
DHLAKHBD_00023	CDS	231				hypothetical protein
DHLAKHBD_00024	CDS	195				hypothetical protein
DHLAKHBD_00025	CDS	1725	yheS		COG0488	putative ABC transporter ATP-binding protein YheS
DHLAKHBD_00026	CDS	189				hypothetical protein
DHLAKHBD_00027	CDS	1188	hhoA_1			Putative serine protease HhoA
DHLAKHBD_00028	CDS	276				hypothetical protein
DHLAKHBD_00029	CDS	384				hypothetical protein
DHLAKHBD_00030	CDS	105				hypothetical protein
DHLAKHBD_00031	CDS	2496	hrpB	3.6.4.13	COG1643	ATP-dependent RNA helicase HrpB
DHLAKHBD_00032	CDS	222				hypothetical protein
DHLAKHBD_00033	CDS	1158	xseA	3.1.11.6	COG1570	Exodeoxyribonuclease 7 large subunit
DHLAKHBD_00034	CDS	264	xseB	3.1.11.6		Exodeoxyribonuclease 7 small subunit
DHLAKHBD_00035	CDS	183				hypothetical protein
DHLAKHBD_00036	CDS	360				hypothetical protein
DHLAKHBD_00037	CDS	357				hypothetical protein
DHLAKHBD_00038	CDS	237				hypothetical protein
DHLAKHBD_00039	CDS	945				hypothetical protein
DHLAKHBD_00040	CDS	372				hypothetical protein
DHLAKHBD_00041	CDS	126				hypothetical protein
DHLAKHBD_00042	CDS	312				hypothetical protein
DHLAKHBD_00043	CDS	150				hypothetical protein
DHLAKHBD_00044	CDS	135				hypothetical protein
